scheme_name,alpha_annual_pct,beta,r_squared,n_obs,fund_house,category,expense_ratio_pct
SBI Small Cap Fund - Regular Plan - Growth,30.336965386983323,-0.0231960620440597,0.00014142575502721724,1149,SBI Mutual Fund,Equity,1.43
DSP Small Cap Fund - Regular - Growth,30.05787817097677,0.011455159960520721,3.5329906267955714e-05,1149,DSP Mutual Fund,Equity,1.52
ICICI Pru Midcap Fund - Regular - Growth,29.26358334175106,0.0005490042506317005,1.345534167566829e-07,1149,ICICI Prudential MF,Equity,1.36
Mirae Asset Tax Saver Fund - Regular - Growth,28.27036785246582,0.018133884083859218,0.00017488886568129512,1149,Mirae Asset MF,Equity,1.6
Kotak Flexicap Fund - Regular - Growth,27.330465038306055,-0.022829569792426566,0.0003430543427151455,1149,Kotak Mahindra MF,Equity,1.45
HDFC Mid-Cap Opportunities Fund - Regular - Growth,27.19535450128533,0.005103525830528331,1.2066520635068268e-05,1149,HDFC Mutual Fund,Equity,1.38
Mirae Asset Large Cap Fund - Regular - Growth,26.98375144191807,0.023683558075848626,0.000462543690662385,1149,Mirae Asset MF,Equity,1.46
DSP Midcap Fund - Regular - Growth,26.598577542043046,-0.0025230046646992563,3.3579781920088836e-06,1149,DSP Mutual Fund,Equity,1.61
Axis Midcap Fund - Regular - Growth,26.07666908004223,-0.06626542862803761,0.0019368789369602344,1149,Axis Mutual Fund,Equity,1.38
SBI Bluechip Fund - Regular Plan - Growth,23.201007160635083,-0.03175144113890976,0.0008869788879322832,1149,SBI Mutual Fund,Equity,1.54
Nippon India Large Cap Fund - Regular - Growth,21.829397904608644,-0.00835383212696199,5.791756270127789e-05,1149,Nippon India MF,Equity,1.51
ABSL Frontline Equity Fund - Regular - Growth,21.399784776051213,0.021086316250128002,0.0003480482030714242,1149,Aditya Birla Sun Life MF,Equity,1.6
ICICI Pru Bluechip Fund - Direct - Growth,21.19482701352573,0.016232169761416993,0.00021216129075887427,1149,ICICI Prudential MF,Equity,0.8
Mirae Asset Emerging Bluechip Fund - Regular - Growth,20.873010086942337,-0.02638771994384303,0.0004859264752797324,1149,Mirae Asset MF,Equity,1.52
SBI Bluechip Fund - Direct Plan - Growth,19.86859936686296,-0.02615930751351343,0.0005850821704543438,1149,SBI Mutual Fund,Equity,0.66
HDFC Top 100 Fund - Direct Plan - Growth,17.729754927531765,0.0488204042595774,0.0018401792783071592,1149,HDFC Mutual Fund,Equity,0.92
ICICI Pru Bluechip Fund - Regular - Growth,17.703302365844074,-0.040268952369820595,0.001397444608331861,1149,ICICI Prudential MF,Equity,1.42
Nippon India Small Cap Fund - Regular - Growth,17.50072167561127,0.10349663691337586,0.0027930065610663234,1149,Nippon India MF,Equity,1.53
UTI Nifty 50 Index Fund - Regular - Growth,17.048756803412697,-0.019486785689474546,0.0003828503073092389,1149,UTI Mutual Fund,Equity,1.57
ICICI Pru Value Discovery Fund - Regular - Growth,16.25385327998104,0.041896462728119754,0.0012571178108220728,1149,ICICI Prudential MF,Equity,1.41
UTI Flexi Cap Fund - Regular - Growth,16.211256794033254,0.016682689437770855,0.00018619166432850236,1149,UTI Mutual Fund,Equity,1.64
Nippon India Large Cap Fund - Direct - Growth,15.643835948169668,-0.036639006718609354,0.0011382947171084277,1149,Nippon India MF,Equity,0.72
