scheme_name,CAGR_1Y_%,CAGR_3Y_%,CAGR_5Y_%,fund_house,category,expense_ratio_pct
Axis Midcap Fund - Regular - Growth,22.261065131342207,35.11180209642853,18.94,Axis Mutual Fund,Equity,1.38
Mirae Asset Large Cap Fund - Regular - Growth,20.360678307711865,34.00091602163293,12.68,Mirae Asset MF,Equity,1.46
ICICI Pru Bluechip Fund - Direct - Growth,13.064279264417976,32.48742855621496,13.02,ICICI Prudential MF,Equity,0.8
HDFC Mid-Cap Opportunities Fund - Regular - Growth,53.23239623092084,32.442459421956116,17.69,HDFC Mutual Fund,Equity,1.38
ICICI Pru Midcap Fund - Regular - Growth,29.604659337893647,31.777537151234704,17.55,ICICI Prudential MF,Equity,1.36
SBI Bluechip Fund - Regular Plan - Growth,60.43734071403091,30.456524420302888,14.45,SBI Mutual Fund,Equity,1.54
Kotak Flexicap Fund - Regular - Growth,26.657081760850154,29.58277033726251,13.5,Kotak Mahindra MF,Equity,1.45
Mirae Asset Tax Saver Fund - Regular - Growth,39.75176148971702,29.178901578393777,14.26,Mirae Asset MF,Equity,1.6
ABSL Frontline Equity Fund - Regular - Growth,47.92412023860102,28.96769452874166,12.86,Aditya Birla Sun Life MF,Equity,1.6
DSP Small Cap Fund - Regular - Growth,65.13871892998797,27.000426614519245,20.61,DSP Mutual Fund,Equity,1.52
DSP Midcap Fund - Regular - Growth,21.481222193726257,26.869990828902203,19.0,DSP Mutual Fund,Equity,1.61
SBI Small Cap Fund - Regular Plan - Growth,82.77605861507405,26.66992200118774,20.67,SBI Mutual Fund,Equity,1.43
UTI Flexi Cap Fund - Regular - Growth,13.5831349444816,25.556187904126524,15.78,UTI Mutual Fund,Equity,1.64
Nippon India Large Cap Fund - Regular - Growth,33.9810484550213,22.652359830098632,14.7,Nippon India MF,Equity,1.51
Nippon India Large Cap Fund - Direct - Growth,25.539980483954096,21.08997654925684,14.72,Nippon India MF,Equity,0.72
Axis Bluechip Fund - Direct - Growth,19.7667410165155,20.816771175535862,13.66,Axis Mutual Fund,Equity,0.75
Nippon India ETF Nifty 50 BeES,22.493224932249344,20.00820838047148,12.31,Nippon India MF,Equity,0.89
UTI Nifty 50 Index Fund - Regular - Growth,20.207703983094838,19.66726206830185,11.31,UTI Mutual Fund,Equity,1.57
HDFC Top 100 Fund - Direct Plan - Growth,28.67535802656873,18.434488610520173,13.48,HDFC Mutual Fund,Equity,0.92
ICICI Pru Value Discovery Fund - Regular - Growth,41.81904829701364,18.421996537444542,12.6,ICICI Prudential MF,Equity,1.41
DSP Top 100 Equity Fund - Regular - Growth,18.11115252275146,18.04420648663614,12.35,DSP Mutual Fund,Equity,1.54
Kotak Bluechip Fund - Regular - Growth,16.837098075385626,17.26727508371786,13.42,Kotak Mahindra MF,Equity,1.59
SBI Bluechip Fund - Direct Plan - Growth,5.706100044974027,16.267372294624916,14.23,SBI Mutual Fund,Equity,0.66
Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.269394138778924,14.748035533586012,15.68,Mirae Asset MF,Equity,1.52
ICICI Pru Bluechip Fund - Regular - Growth,8.489081269294418,13.978381933703044,11.46,ICICI Prudential MF,Equity,1.42
HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.443720834451845,11.245222866621418,15.85,HDFC Mutual Fund,Equity,0.78
Nippon India Small Cap Fund - Regular - Growth,15.811221971300938,8.007927728656083,21.88,Nippon India MF,Equity,1.53
Kotak Emerging Equity Fund - Regular - Growth,22.50195657587366,7.756003551327284,17.75,Kotak Mahindra MF,Equity,1.56
ICICI Pru Liquid Fund - Regular - Growth,7.42505077613469,7.394286300360076,7.94,ICICI Prudential MF,Debt,0.74
Kotak Liquid Fund - Regular - Growth,7.120323042122512,6.695971624586994,8.26,Kotak Mahindra MF,Debt,0.6
ABSL Liquid Fund - Regular - Growth,7.23664530138024,6.315784491375509,7.95,Aditya Birla Sun Life MF,Debt,0.79
SBI Magnum Gilt Fund - Regular Plan - Growth,5.5219955107626895,5.840358798463097,5.43,SBI Mutual Fund,Debt,0.77
Nippon India Gilt Securities Fund - Regular - Growth,10.454939683040276,4.062205023777143,8.71,Nippon India MF,Debt,0.55
HDFC Short Term Debt Fund - Regular - Growth,3.704968580461343,3.9163899571040384,6.41,HDFC Mutual Fund,Debt,0.56
HDFC Top 100 Fund - Regular Plan - Growth,-2.224270997710287,1.292649342495622,11.32,HDFC Mutual Fund,Equity,1.55
Axis Bluechip Fund - Regular - Growth,1.6091186722522632,0.5258871209757432,14.14,Axis Mutual Fund,Equity,1.64
UTI Mid Cap Fund - Regular - Growth,-16.797480944407305,-0.7674063178547241,15.86,UTI Mutual Fund,Equity,1.51
SBI Small Cap Fund - Direct Plan - Growth,13.947803355189968,-1.337386614488112,21.82,SBI Mutual Fund,Equity,0.72
ABSL Small Cap Fund - Regular - Growth,-23.986031710270627,-4.152381044854481,23.8,Aditya Birla Sun Life MF,Equity,1.53
Axis Small Cap Fund - Regular - Growth,-42.797614558854406,-11.705806723995272,22.62,Axis Mutual Fund,Equity,1.38
