scheme_name,CAGR_3Y_%,Sharpe_Ratio,alpha_annual_pct,expense_ratio_pct,max_drawdown_pct,peak_date,trough_date,return_3yr_rank,sharpe_rank,alpha_rank,expense_rank,max_dd_rank,return_3yr_score,sharpe_score,alpha_score,expense_score,max_dd_score,fund_score_100
Mirae Asset Large Cap Fund - Regular - Growth,34.00091602163293,1.0682238272314735,26.98375144191807,1.46,-11.265729075028275,2023-07-11,2023-10-20,2.0,1.0,7.0,23.0,8.0,97.43589743589743,100.0,84.61538461538461,43.58974358974359,82.05128205128206,85.89743589743588
ICICI Pru Midcap Fund - Regular - Growth,31.777537151234704,0.883255618469885,29.26358334175106,1.36,-18.188513572116292,2024-10-24,2025-01-23,5.0,4.0,3.0,15.0,25.0,89.74358974358974,92.3076923076923,94.87179487179488,64.1025641025641,38.46153846153846,82.43589743589743
Kotak Flexicap Fund - Regular - Growth,29.58277033726251,0.9655606517440107,27.330465038306055,1.45,-12.97396816518679,2022-03-07,2022-04-13,7.0,2.0,5.0,22.0,13.0,84.61538461538461,97.43589743589743,89.74358974358974,46.15384615384615,69.23076923076923,81.53846153846152
HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.442459421956116,0.8082678003905597,27.19535450128533,1.38,-16.217208574644847,2022-03-11,2022-05-12,4.0,7.0,6.0,17.0,20.0,92.3076923076923,84.61538461538461,87.17948717948718,58.97435897435897,51.282051282051285,80.25641025641023
ICICI Pru Bluechip Fund - Direct - Growth,32.48742855621496,0.7146822636441235,21.19482701352573,0.8,-12.588275606922517,2022-10-04,2023-05-30,3.0,11.0,13.0,12.0,12.0,94.87179487179488,74.35897435897436,69.23076923076923,71.7948717948718,71.7948717948718,78.84615384615385
Axis Midcap Fund - Regular - Growth,35.11180209642853,0.7305467735561725,26.07666908004223,1.38,-20.960883862039193,2022-04-14,2022-08-11,1.0,9.0,9.0,17.0,28.0,100.0,79.48717948717949,79.48717948717949,58.97435897435897,30.76923076923077,77.6923076923077
SBI Bluechip Fund - Regular Plan - Growth,30.456524420302888,0.8609773262277763,23.201007160635083,1.54,-15.012385498645331,2023-08-24,2024-02-05,6.0,5.0,10.0,30.5,17.0,87.17948717948718,89.74358974358974,76.92307692307692,24.358974358974358,58.97435897435897,73.52564102564104
Mirae Asset Tax Saver Fund - Regular - Growth,29.178901578393777,0.9190465356358278,28.27036785246582,1.6,-16.39674294693263,2023-08-10,2023-10-20,8.0,3.0,4.0,36.5,21.0,82.05128205128206,94.87179487179488,92.3076923076923,8.974358974358974,48.717948717948715,73.01282051282051
SBI Small Cap Fund - Regular Plan - Growth,26.66992200118774,0.7116901743847245,30.336965386983323,1.43,-28.706005721764548,2024-08-28,2025-05-14,12.0,13.0,1.0,21.0,36.0,71.7948717948718,69.23076923076923,100.0,48.717948717948715,10.256410256410257,67.17948717948717
ABSL Frontline Equity Fund - Regular - Growth,28.96769452874166,0.7174089959890172,21.399784776051213,1.6,-11.291596329323072,2023-04-24,2023-07-05,9.0,10.0,12.0,36.5,9.0,79.48717948717949,76.92307692307692,71.7948717948718,8.974358974358974,79.48717948717949,66.73076923076923
