scheme_name,Annual_Return_%,Annual_Volatility_%,Sharpe_Ratio
Mirae Asset Large Cap Fund - Regular - Growth,19.34539923571093,12.025007220633226,1.0682238272314735
Kotak Flexicap Fund - Regular - Growth,19.49097522413879,13.454333708270202,0.9655606517440107
Mirae Asset Tax Saver Fund - Regular - Growth,20.25311736662951,14.96454949053764,0.9190465356358278
ICICI Pru Midcap Fund - Regular - Growth,20.924578780752817,16.331148626873556,0.883255618469885
SBI Bluechip Fund - Regular Plan - Growth,16.518798671520774,11.63654183022033,0.8609773262277763
DSP Midcap Fund - Regular - Growth,19.01234988446519,15.02289807114623,0.8328852279505956
HDFC Mid-Cap Opportunities Fund - Regular - Growth,19.455820981566944,16.029119278668055,0.8082678003905597
Nippon India Large Cap Fund - Regular - Growth,15.589574179989105,11.978074493866073,0.7588510310771436
Axis Midcap Fund - Regular - Growth,18.498961473769384,16.42463139678321,0.7305467735561725
ABSL Frontline Equity Fund - Regular - Growth,15.34716683127852,12.332110247769963,0.7174089959890172
ICICI Pru Bluechip Fund - Direct - Growth,15.189944144183363,12.159171405589163,0.7146822636441235
DSP Small Cap Fund - Regular - Growth,21.516489311995702,21.01908465972875,0.7144216579881023
SBI Small Cap Fund - Regular Plan - Growth,21.639807381226877,21.27303133602435,0.7116901743847245
SBI Bluechip Fund - Direct Plan - Growth,14.148439472812365,11.798750618901819,0.6482414723266905
Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.866087533335284,13.05827825255206,0.6406730942266641
UTI Nifty 50 Index Fund - Regular - Growth,12.146939540005636,10.863737121166011,0.5197971450361778
ICICI Pru Bluechip Fund - Regular - Growth,12.569219372774596,11.749520419593235,0.5165503915082101
HDFC Top 100 Fund - Direct Plan - Growth,12.784118487243203,12.412510324744543,0.5062729716095954
ICICI Pru Value Discovery Fund - Regular - Growth,11.71362158251039,12.885373550313032,0.40461547832920475
Nippon India ETF Nifty 50 BeES,10.819292907873196,10.985306633798695,0.3931881969124055
Nippon India Large Cap Fund - Direct - Growth,11.10469272541956,11.842466866302143,0.3888288460001742
UTI Flexi Cap Fund - Regular - Growth,11.627698030881493,13.331254069504203,0.38463733450338444
Nippon India Small Cap Fund - Regular - Growth,12.740641404379566,21.34696587931458,0.292343251010993
Kotak Bluechip Fund - Regular - Growth,9.405630002008191,11.389383315023299,0.25511741256223125
DSP Top 100 Equity Fund - Regular - Growth,9.409879926976204,12.141529821671087,0.23966336777285166
HDFC Mid-Cap Opportunities Fund - Direct - Growth,8.592088484593447,15.520192817080062,0.1347978410610396
ABSL Small Cap Fund - Regular - Growth,7.647758498249846,21.81298265430815,0.05261813647585507
Axis Bluechip Fund - Direct - Growth,5.9433671910602515,11.82482043206589,-0.04707325681075906
Kotak Emerging Equity Fund - Regular - Growth,5.619872413762051,15.131095633895363,-0.05816681141492252
Axis Bluechip Fund - Regular - Growth,4.954548796260085,11.796511781793411,-0.13100916883965183
SBI Small Cap Fund - Direct Plan - Growth,3.6273125844665106,21.095074508933582,-0.13617811182970374
Axis Small Cap Fund - Regular - Growth,3.2858414048511952,21.193443362831076,-0.1516581586164415
UTI Mid Cap Fund - Regular - Growth,1.978633056877262,15.332441289191184,-0.29488891285108904
HDFC Top 100 Fund - Regular Plan - Growth,2.551325211011266,12.30042952202974,-0.32101926049954294
SBI Magnum Gilt Fund - Regular Plan - Growth,4.004812909236466,3.357814142204654,-0.7430986305648408
Nippon India Gilt Securities Fund - Regular - Growth,3.631211434065539,3.3727480304525668,-0.8505789759662293
HDFC Short Term Debt Fund - Regular - Growth,3.064015917896624,3.304017152036813,-1.0399413574427754
ICICI Pru Liquid Fund - Regular - Growth,4.822542504748042,0.45955424467816686,-3.650183878568478
Kotak Liquid Fund - Regular - Growth,4.614907735094514,0.4712319548628601,-4.000348969233408
ABSL Liquid Fund - Regular - Growth,4.352162036092684,0.46186083719723103,-4.650400707150913
