scheme_name,Annual_Return_%,Downside_Volatility_%,Sortino_Ratio
Mirae Asset Large Cap Fund - Regular - Growth,19.34539923571093,7.004094615508039,1.8339842536206505
Kotak Flexicap Fund - Regular - Growth,19.49097522413879,7.548131904504656,1.7210848178720746
Mirae Asset Tax Saver Fund - Regular - Growth,20.25311736662951,8.572386425509606,1.6043510737807092
ICICI Pru Midcap Fund - Regular - Growth,20.924578780752817,9.430328625680968,1.52959449806143
SBI Bluechip Fund - Regular Plan - Growth,16.518798671520774,6.617012665557986,1.5140969464467433
DSP Midcap Fund - Regular - Growth,19.01234988446519,8.910947367632932,1.4041548410344746
HDFC Mid-Cap Opportunities Fund - Regular - Growth,19.455820981566944,9.399278194490542,1.3783846709804903
Nippon India Large Cap Fund - Regular - Growth,15.589574179989105,6.972732537822829,1.3035885330010435
Axis Midcap Fund - Regular - Growth,18.498961473769384,9.50989319566701,1.2617346196102883
ABSL Frontline Equity Fund - Regular - Growth,15.34716683127852,7.091551773520995,1.2475643009916082
ICICI Pru Bluechip Fund - Direct - Growth,15.189944144183363,7.026663058645713,1.236709953452389
SBI Small Cap Fund - Regular Plan - Growth,21.639807381226877,12.340427550186554,1.2268462595526526
DSP Small Cap Fund - Regular - Growth,21.516489311995702,12.303788055975405,1.2204769168388638
SBI Bluechip Fund - Direct Plan - Growth,14.148439472812365,6.881981714683619,1.1113716644281992
Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.866087533335284,7.573491174019208,1.1046540282551687
UTI Nifty 50 Index Fund - Regular - Growth,12.146939540005636,6.299543952378918,0.8964044989118878
ICICI Pru Bluechip Fund - Regular - Growth,12.569219372774596,6.917157881999987,0.8774151864551306
HDFC Top 100 Fund - Direct Plan - Growth,12.784118487243203,7.263389175346396,0.8651771694366782
ICICI Pru Value Discovery Fund - Regular - Growth,11.71362158251039,7.625361217489759,0.6837212603846582
Nippon India Large Cap Fund - Direct - Growth,11.10469272541956,6.792789202223963,0.6778795261174868
Nippon India ETF Nifty 50 BeES,10.819292907873196,6.45119464249614,0.6695338068736282
UTI Flexi Cap Fund - Regular - Growth,11.627698030881493,7.752539822410273,0.6614216951274281
Nippon India Small Cap Fund - Regular - Growth,12.740641404379566,12.926992592792793,0.48276049975142094
Kotak Bluechip Fund - Regular - Growth,9.405630002008191,6.7286371575358634,0.4318303891232977
DSP Top 100 Equity Fund - Regular - Growth,9.409879926976204,7.317465779499644,0.3976622528428383
HDFC Mid-Cap Opportunities Fund - Direct - Growth,8.592088484593447,9.411511673721265,0.22229037769086088
ABSL Small Cap Fund - Regular - Growth,7.647758498249846,13.217609949843167,0.08683555518775649
Axis Bluechip Fund - Direct - Growth,5.9433671910602515,7.1533298117006385,-0.07781450367761167
Kotak Emerging Equity Fund - Regular - Growth,5.619872413762051,9.349245255705767,-0.09413889166088722
Axis Bluechip Fund - Regular - Growth,4.954548796260085,7.116948797073679,-0.21715081108569562
SBI Small Cap Fund - Direct Plan - Growth,3.6273125844665106,13.075100502300655,-0.21970671774400666
Axis Small Cap Fund - Regular - Growth,3.2858414048511952,12.985537640409886,-0.24751833032670265
UTI Mid Cap Fund - Regular - Growth,1.978633056877262,9.496037591703947,-0.47613195498222904
HDFC Top 100 Fund - Regular Plan - Growth,2.551325211011266,7.392610960482342,-0.5341380481262464
SBI Magnum Gilt Fund - Regular Plan - Growth,4.004812909236466,1.964186357269904,-1.270341320480246
Nippon India Gilt Securities Fund - Regular - Growth,3.631211434065539,1.970089527685884,-1.456171674240719
HDFC Short Term Debt Fund - Regular - Growth,3.064015917896624,1.9606535371069604,-1.7524687646616741
ICICI Pru Liquid Fund - Regular - Growth,4.822542504748042,0.12804052096912186,-13.100989300539418
Kotak Liquid Fund - Regular - Growth,4.614907735094514,0.1402449831973237,-13.441423870778856
ABSL Liquid Fund - Regular - Growth,4.352162036092684,0.145832327645273,-14.728133319875292
