amfi_code,hhi,scheme_name,fund_house
119092,0.20648896572825606,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund
101207,0.2007405761078158,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF
119599,0.17475095999999996,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
102885,0.17470902000000005,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund
118632,0.16823090091039977,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF
148568,0.16796332098456374,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF
120505,0.15750735075940217,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF
120506,0.15373210101031182,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF
125498,0.15241397999999998,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund
120841,0.14965041841981183,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF
148569,0.14945619650035225,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF
100033,0.14759225999999998,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund
149323,0.14162096,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund
120503,0.14087026,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF
100016,0.13953386,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund
148567,0.13861189099207952,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF
125497,0.13658554,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund
119094,0.13637863290963173,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund
118635,0.13597134290886836,Nippon India ETF Nifty 50 BeES,Nippon India MF
149322,0.13442485362647677,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund
119093,0.13089424,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund
102887,0.12977899290362938,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund
101206,0.12930586753343462,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF
120843,0.12868306,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF
120842,0.12746430158567412,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF
118633,0.12146086,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF
119551,0.11871552000000002,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund
149324,0.11867709999999998,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund
102886,0.11473873090281189,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund
119095,0.10962727435859895,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund
120504,0.10865241842978988,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF
118634,0.10835771999999999,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF
119552,0.10798909110188873,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund
119598,0.107370423010898,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund
