amfi_code,scheme_name,fund_house,category,sub_category,risk_grade,sharpe_ratio,aum_crore,return_1yr_pct,return_3yr_pct,return_5yr_pct,beta,std_dev_ann_pct,max_drawdown_pct,mean_daily_return_pct,daily_volatility_pct,var_95_pct,cvar_95_pct,return_obs
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Small Cap,Very High,0.9,41613,24.93,22.38,23.8,0.97,25.0,-23.61,0.030348248008927957,1.3740887489491658,-2.391462085614526,-3.028853855689586,1607
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Small Cap,Very High,0.84,21545,21.97,20.98,22.62,1.0,25.0,-14.45,0.01303905319385395,1.3350614419805578,-2.328360266362247,-2.969003972741721,1607
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Small Cap,Very High,0.93,36061,20.59,23.14,21.82,1.04,25.0,-24.78,0.014394097557406789,1.3288647866432435,-2.315543346345327,-3.0162858545493423,1607
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Small Cap,Very High,0.81,43630,21.3,20.15,21.88,1.03,25.0,-30.87,0.05055810081103002,1.344732451486849,-2.2809809042508045,-2.993961894901776,1607
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Small Cap,Very High,0.8,35124,20.2,20.08,20.61,0.98,25.0,-17.01,0.08538289409522097,1.3240778760917848,-2.152030425318905,-2.857253167644592,1607
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Small Cap,Very High,0.94,19259,24.56,23.39,20.67,0.89,25.0,-13.35,0.08587225151280507,1.3400750130382044,-2.1501921496768976,-2.844427140601086,1607
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Mid Cap,High,0.8,28996,14.88,15.18,18.94,1.0,19.0,-32.38,0.07340857727686265,1.0346545250426618,-1.6996541912790986,-2.2374528784811143,1607
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Mid Cap,High,0.96,47469,17.12,18.23,17.75,1.0,19.0,-21.92,0.022301081006992268,0.9531694312195794,-1.6949938922196217,-2.125068794917235,1607
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Mid Cap,High,0.87,23185,15.43,16.58,17.69,0.91,19.0,-13.67,0.07720563881574181,1.0097396034939703,-1.690162517076692,-2.1849843397164253,1607
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Mid Cap,High,0.82,41728,16.3,15.61,15.86,0.92,19.0,-13.43,0.007851718479671676,0.9658530153023435,-1.6857052171303166,-2.177063382107187,1607
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Mid Cap,High,0.8,18792,19.98,15.29,15.85,1.04,19.0,-32.22,0.034095589224577165,0.9776802498515428,-1.676236356598184,-2.148383217515083,1607
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Mid Cap,High,0.95,979,14.02,18.08,17.55,1.0,19.0,-21.84,0.08303404278076508,1.0287656640652711,-1.6224087303417265,-2.2363198028897977,1607
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Mid Cap,High,0.9,37835,14.12,17.16,19.0,0.98,19.0,-26.99,0.07544583287486192,0.9463536254220205,-1.5865984799217414,-2.09026576862566,1607
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,ELSS,High,0.8,2989,11.16,13.58,14.26,0.98,17.0,-22.62,0.08036951335964093,0.94267801033526,-1.5259046371143081,-1.9851510510311667,1607
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Flexi Cap,Moderately High,0.96,17912,17.43,15.34,15.78,1.0,16.0,-12.14,0.04614165885270434,0.8397900698220455,-1.3743344236293054,-1.7963512958246095,1607
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Flexi Cap,Moderately High,0.98,35012,15.74,15.65,13.5,0.95,16.0,-19.5,0.07734513977832859,0.8475433582894383,-1.3327485173211562,-1.7114102153899122,1607
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Large & Mid Cap,Moderately High,0.91,49046,14.91,14.56,15.68,0.99,16.0,-33.15,0.05899241084656859,0.8225942096889489,-1.331269515511313,-1.7383918582139044,1607
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Value,Moderately High,0.98,2571,16.67,14.76,12.6,0.92,15.0,-21.89,0.046482625327422186,0.8117022372451836,-1.3005352264566303,-1.7792496196296157,1607
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Large Cap,Moderate,0.92,41828,11.96,12.82,12.35,0.91,14.0,-21.7,0.037340793361016686,0.7648444867622884,-1.2955446642516755,-1.6995172112929815,1607
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Large Cap,Moderate,1.06,6434,10.94,14.84,11.32,0.97,14.0,-17.41,0.01012430639290185,0.7748542270135184,-1.2883548931908695,-1.6768321461436162,1607
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Large Cap,Moderate,0.85,25803,11.82,11.84,14.14,0.91,14.0,-27.54,0.019660907921667005,0.7431103931587806,-1.2692876487327587,-1.6166151944503535,1607
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Large Cap,Moderate,1.06,11361,15.12,14.81,12.68,0.96,14.0,-17.07,0.07676745728456716,0.7575042528464653,-1.2607396741943242,-1.6343197522742479,1607
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Large Cap,Moderate,0.87,15866,13.95,12.14,13.66,0.87,14.0,-17.4,0.023584790440715285,0.7448936705057542,-1.258785333198682,-1.6331690102985696,1607
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Large Cap,Moderate,1.03,41553,14.12,14.41,13.02,1.03,14.0,-26.59,0.06027755612771176,0.7659558020903956,-1.2531255294818833,-1.6225606809666344,1607
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Large Cap,Moderate,0.96,10611,11.48,13.38,13.48,0.97,14.0,-33.5,0.05073062891763177,0.7819146539356108,-1.250186045702889,-1.696448520682221,1607
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Large Cap,Moderate,1.0,20909,15.84,14.0,14.7,0.88,14.0,-16.07,0.061863389603131376,0.7545477689565593,-1.233346907720558,-1.6327725070326382,1607
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Large Cap,Moderate,0.98,23500,14.82,13.78,12.86,1.03,14.0,-15.07,0.060901455679676655,0.776849925148344,-1.2173429806863612,-1.607512058946511,1607
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Large Cap,Moderate,0.82,36022,15.63,11.54,11.46,0.96,14.0,-25.91,0.04987785465386744,0.740150215583785,-1.2133236715948303,-1.6099692653253457,1607
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Large Cap,Moderate,0.81,1231,15.25,11.3,14.23,0.87,14.0,-24.43,0.05614460108258876,0.743251426640086,-1.2129038937142642,-1.6078207856022269,1607
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Large Cap,Moderate,0.88,39475,14.42,12.33,14.72,1.02,14.0,-18.14,0.04406624097388715,0.7460052913751871,-1.206568147523046,-1.5542096862478805,1607
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Large Cap,Moderate,0.88,14288,12.42,12.36,14.45,0.89,14.0,-21.7,0.06555078837905065,0.7330332334181755,-1.1826841635318985,-1.5229577496502082,1607
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Large Cap,Moderate,0.87,35585,14.37,12.25,13.42,0.93,14.0,-17.86,0.037323928579397585,0.7174637104271447,-1.1724966759344824,-1.5248574925611378,1607
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Index,Moderate,0.93,7350,13.76,12.1,11.31,0.9,13.0,-24.42,0.048202141031768404,0.6843511126520477,-1.1047180236723242,-1.4381301038700012,1607
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Index/ETF,Moderate,0.91,20284,10.14,11.77,12.31,1.04,13.0,-26.75,0.04293370201536983,0.692009272114749,-1.103346672270995,-1.4938288639839212,1607
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Gilt,Low,1.52,24101,5.34,6.07,5.43,0.22,4.0,-2.3,0.015892114719192326,0.21152240878688539,-0.3428846226904114,-0.4618214851480345,1607
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Gilt,Low,1.33,30030,6.19,5.31,8.71,0.37,4.0,-2.23,0.01440956918279976,0.21246315532048562,-0.3344389562199767,-0.45406871188527165,1607
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Short Duration,Low,1.84,27953,6.83,7.37,6.41,0.44,4.0,-6.01,0.012158793324986601,0.20813351694717364,-0.3337613149587215,-0.45806565073636163,1607
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Liquid,Low,5.14,38995,6.18,5.14,7.95,0.43,0.5,-3.66,0.017270484270209066,0.029094497989141987,-0.02184446720203015,-0.0370888261084244,1607
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Liquid,Low,6.18,27623,4.26,6.18,8.26,0.47,0.5,-3.81,0.018313125932914738,0.029684822914141495,-0.02038147642592136,-0.03620891285341904,1607
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Liquid,Low,7.68,39116,8.89,7.68,7.94,0.26,0.5,-2.62,0.019137073431539846,0.028949196318156154,-0.019572938739494946,-0.03253526256203926,1607
